0	6	0
1	0	1
2	1	2
3	2	3
4	3	4
5	4	5
6	5	6
7	0	1
8	1	2
9	2	3
10	3	4
11	4	5
12	5	6
13	6	0
14	0	1
15	1	2
16	2	3
17	3	4
18	4	5
19	5	6
20	6	0
21	1	2
22	2	3
23	3	4
24	4	5
25	5	6
26	6	0
27	0	1
28	7	8
29	8	9
30	9	10
31	10	11
32	11	12
33	12	13
34	13	7
35	7	8
36	8	9
37	9	10
38	10	11
39	11	12
40	12	13
41	13	7
42	7	8
43	8	9
44	9	10
45	10	11
46	11	12
47	12	13
48	13	7
49	7	8
50	8	9
51	9	10
52	10	11
53	11	12
54	12	13
55	13	7
56	8	9
57	9	10
58	10	11
59	11	12
60	12	13
61	13	7
62	7	8
63	6	0
64	0	1
65	1	2
66	2	3
67	3	4
68	4	5
69	5	6
70	7	19
71	20	21
72	20	21
73	22	23
74	23	20
75	20	0
76	0	7
77	7	19
78	19	20
79	20	24
80	8	25
81	25	26
82	26	27
83	27	28
84	28	25
85	25	28
86	28	29
87	29	30
88	30	6
89	28	6
90	1	2
91	2	3
92	3	4
93	4	5
94	5	6
95	6	0
96	0	7
97	7	8
98	8	9
99	9	31
100	31	32
101	32	33
102	33	34
103	34	5
105	31	35
106	35	36
107	36	32
108	32	31
109	31	32
110	32	37
111	37	17
112	9	31
113	31	32
114	32	37
115	37	17
116	17	14
117	4	31
118	32	10
119	19	20
120	20	8
121	8	6
122	6	19
123	19	20
124	20	8
125	6	19
126	6	19
