0	0
0	7
0	20
0	27
0	67
0	91
0	114
1	1
1	8
1	14
1	21
1	68
1	108
2	2
2	9
2	15
2	22
2	69
2	109
3	3
3	10
3	16
3	23
3	70
3	110
4	4
4	11
4	17
4	24
4	71
4	111
5	5
5	12
5	18
5	25
5	72
5	112
6	6
6	13
6	19
6	26
6	66
6	113
6	142
6	146
6	148
7	28
7	35
7	42
7	49
7	50
7	57
7	64
7	92
7	115
8	29
8	36
8	43
8	51
8	58
8	116
8	141
8	145
9	30
9	37
9	44
9	52
9	59
10	31
10	38
10	45
10	53
10	60
11	32
11	39
11	46
11	54
11	61
12	33
12	40
12	47
12	55
12	62
13	34
13	41
13	48
13	56
13	63
14	74
14	135
17	77
17	134
18	78
19	79
19	81
19	84
19	87
19	93
19	139
19	143
19	147
19	149
20	80
20	82
20	85
20	90
20	94
20	140
20	144
21	83
21	86
22	88
23	89
24	95
25	96
25	100
26	97
27	98
28	99
28	101
28	105
29	102
30	103
31	119
31	123
31	127
31	131
31	137
32	120
32	126
32	128
32	132
32	138
33	121
34	122
35	124
36	125
37	129
37	133
